source,target,label
wd:Q28845992,wd:Q273570,Scolarité
wd:Q28846011,wd:Q273570,Scolarité
wd:Q28846106,wd:Q273570,Scolarité
wd:Q28848574,wd:Q273570,Scolarité
wd:Q28849174,wd:Q273570,Scolarité
wd:Q28856691,wd:Q273570,Scolarité
wd:Q28920302,wd:Q273570,Scolarité
wd:Q28920319,wd:Q273570,Scolarité
wd:Q28942570,wd:Q273570,Scolarité
wd:Q28943644,wd:Q273570,Scolarité
wd:Q29515305,wd:Q273570,Scolarité
wd:Q29896507,wd:Q273570,Scolarité
wd:Q30002221,wd:Q273570,Scolarité
wd:Q30058691,wd:Q273570,Scolarité
wd:Q30062526,wd:Q273570,Scolarité
wd:Q30246089,wd:Q273570,Scolarité
wd:Q30332130,wd:Q273570,Scolarité
wd:Q33178442,wd:Q273570,Scolarité
wd:Q33695383,wd:Q273570,Scolarité
wd:Q33825322,wd:Q273570,Scolarité
wd:Q34060124,wd:Q273570,Scolarité
wd:Q34657887,wd:Q273570,Scolarité
wd:Q34777800,wd:Q273570,Scolarité
wd:Q34780512,wd:Q273570,Scolarité
wd:Q34786278,wd:Q273570,Scolarité
wd:Q34786477,wd:Q273570,Scolarité
wd:Q34795650,wd:Q273570,Scolarité
wd:Q34796613,wd:Q273570,Scolarité
wd:Q34796963,wd:Q273570,Scolarité
wd:Q34797236,wd:Q273570,Scolarité
wd:Q34797859,wd:Q273570,Scolarité
wd:Q34816135,wd:Q273570,Scolarité
wd:Q35023956,wd:Q273570,Scolarité
wd:Q35026461,wd:Q273570,Scolarité
wd:Q35108455,wd:Q273570,Scolarité
wd:Q35118120,wd:Q273570,Scolarité
wd:Q35127600,wd:Q273570,Scolarité
wd:Q35229518,wd:Q273570,Scolarité
wd:Q36205302,wd:Q273570,Scolarité
wd:Q36210511,wd:Q273570,Scolarité
wd:Q36216976,wd:Q273570,Scolarité
wd:Q36322618,wd:Q273570,Scolarité
wd:Q36369571,wd:Q273570,Scolarité
wd:Q36369926,wd:Q273570,Scolarité
wd:Q36370209,wd:Q273570,Scolarité
wd:Q36386000,wd:Q273570,Scolarité
wd:Q36390157,wd:Q273570,Scolarité
wd:Q36459081,wd:Q273570,Scolarité
wd:Q36459701,wd:Q273570,Scolarité
wd:Q36460721,wd:Q273570,Scolarité
wd:Q36462694,wd:Q273570,Scolarité
wd:Q36476968,wd:Q273570,Scolarité
wd:Q36481218,wd:Q273570,Scolarité
wd:Q36483293,wd:Q273570,Scolarité
wd:Q36484267,wd:Q273570,Scolarité
wd:Q38240393,wd:Q273570,Scolarité
wd:Q41710173,wd:Q273570,Scolarité
wd:Q41961995,wd:Q273570,Scolarité
wd:Q41969348,wd:Q273570,Scolarité
wd:Q41986048,wd:Q273570,Scolarité
wd:Q41986619,wd:Q273570,Scolarité
wd:Q41987084,wd:Q273570,Scolarité
wd:Q41987589,wd:Q273570,Scolarité
wd:Q41987983,wd:Q273570,Scolarité
wd:Q41988426,wd:Q273570,Scolarité
wd:Q41988861,wd:Q273570,Scolarité
wd:Q42014684,wd:Q273570,Scolarité
wd:Q42315456,wd:Q273570,Scolarité
wd:Q42663317,wd:Q273570,Scolarité
wd:Q42663431,wd:Q273570,Scolarité
wd:Q42663534,wd:Q273570,Scolarité
wd:Q42663669,wd:Q273570,Scolarité
wd:Q922350,wd:Q273570,Employeur
wd:Q1245518,wd:Q273570,Employeur
wd:Q1338383,wd:Q273570,Employeur
wd:Q2156245,wd:Q273570,Employeur
wd:Q2408040,wd:Q273570,Employeur
wd:Q2497623,wd:Q273570,Employeur
wd:Q2850174,wd:Q273570,Employeur
wd:Q2865116,wd:Q273570,Employeur
wd:Q2871321,wd:Q273570,Employeur
wd:Q2897484,wd:Q273570,Employeur
wd:Q2926731,wd:Q273570,Employeur
wd:Q2926789,wd:Q273570,Employeur
wd:Q2959858,wd:Q273570,Employeur
wd:Q2965963,wd:Q273570,Employeur
wd:Q3121174,wd:Q273570,Employeur
wd:Q3263525,wd:Q273570,Employeur
wd:Q3301297,wd:Q273570,Employeur
wd:Q3351082,wd:Q273570,Employeur
wd:Q3351290,wd:Q273570,Employeur
wd:Q3367657,wd:Q273570,Employeur
wd:Q3386153,wd:Q273570,Employeur
wd:Q3439046,wd:Q273570,Employeur
wd:Q3571703,wd:Q273570,Employeur
wd:Q19606616,wd:Q273570,Employeur
wd:Q28548090,wd:Q273570,Employeur
wd:Q310791,wd:Q182542,Employeur
wd:Q2861197,wd:Q182542,Employeur
wd:Q3269422,wd:Q182542,Employeur
wd:Q16862516,wd:Q182542,Employeur
wd:Q23607567,wd:Q182542,Employeur
wd:Q28845992,wd:Q182542,Employeur
wd:Q34657887,wd:Q182542,Employeur
wd:Q35821492,wd:Q182542,Employeur
wd:Q36484267,wd:Q182542,Employeur
wd:Q240788,wd:Q193563,Employeur
wd:Q545045,wd:Q193563,Employeur
wd:Q673718,wd:Q193563,Employeur
wd:Q860169,wd:Q193563,Employeur
wd:Q979783,wd:Q193563,Employeur
wd:Q2206419,wd:Q193563,Employeur
wd:Q2377429,wd:Q193563,Employeur
wd:Q2827011,wd:Q193563,Employeur
wd:Q2861197,wd:Q193563,Employeur
wd:Q3060050,wd:Q193563,Employeur
wd:Q3170204,wd:Q193563,Employeur
wd:Q3380639,wd:Q193563,Employeur
