id,label
wd:Q328607,Auguste Poulet-Malassis
wd:Q34816135,Léon Le Grand
wd:Q22212277,Gaston Migeon
wd:Q34797236,Henri Loriquet
wd:Q1870426,Lorédan Larchey
wd:Q3059981,Eugène Lefèvre-Pontalis
wd:Q978749,Henri d'Arbois de Jubainville
wd:Q3103331,Georges Philippon
wd:Q16909603,Étienne Fels
wd:Q3998414,Jean Passy
wd:Q3288382,Marc Sanson
wd:Q544531,Germain Bazin
wd:Q1080053,Louis Finot
wd:Q14637478,Jean Porcher
wd:Q3132284,Henri de L'Épinois
wd:Q35229749,Joseph Despont
wd:Q34062195,Louis Boca
wd:Q1874143,Louis Spach
wd:Q3170409,Jean Argeliès
wd:Q1441778,Francis Wey
wd:Q3121251,Gustave Macon
wd:Q3573413,Yves-Marie Bercé
wd:Q8313632,Édouard Philipon
wd:Q541418,Alfred Morel-Fatio
wd:Q3109280,Jean Clottes
wd:Q2840798,Amable Floquet
wd:Q30246089,Hélène Frémont
wd:Q3574188,Yvonne Deslandres
wd:Q15407386,Eugène Hubert
wd:Q28916714,Nicolas Buat
wd:Q127275,Auguste Longnon
wd:Q36487021,France Pascal
wd:Q34011476,Alfred Schweighaeuser
wd:Q3060243,Eugène de Robillard de Beaurepaire
wd:Q3047520,Edgard Boutaric
wd:Q25496816,Paul Klein
wd:Q28846011,Henri de Manneville
wd:Q24050936,Anne-Marie de Brem
wd:Q2851000,Anne Brenon
wd:Q34657887,Camille Rivain
wd:Q3320909,Monique Pelletier
wd:Q766823,Auguste Castan
wd:Q3588656,Émile Maupas
wd:Q3174936,Jean Vallery-Radot
wd:Q3588710,Émile Raunié
wd:Q28845571,Pierre Daudet
wd:Q28803059,Vincent Haegele
wd:Q36459081,Paul Bouteiller
wd:Q3082628,Frank Giroud
wd:Q3171454,Jean Coural
wd:Q745858,Henri Langlois
wd:Q2926909,Bruno Neveu
wd:Q2847164,André Artonne
wd:Q3370932,Paul Cornu
wd:Q129228,René Girard
wd:Q3592377,Étienne Trocmé
wd:Q1559057,Gérard de Montaigu der Ältere
wd:Q3275671,Madeleine Laurain-Portemer
wd:Q34786278,Armand d'Herbomez
wd:Q15407315,Jean-François Le Nail
wd:Q20743254,Yves Alix
wd:Q34067897,Louis Hugot
wd:Q20966423,Alfred Pacquement
wd:Q21192403,Frédéric Blin
wd:Q3260563,Louis-Gilles Pairault
wd:Q25391761,Danielle Jacquart
wd:Q586624,Antoine Le Roux de Lincy
wd:Q3184611,Joseph Billioud
wd:Q3184612,Joseph Bisson
wd:Q3160079,Jacques Thirion
wd:Q17350079,Charles Baudon de Mony
wd:Q1187395,Denis Godefroy
wd:Q207359,Georges Bataille
wd:Q3105811,Gilbert Ouy
wd:Q3261716,Louis Desgraves
wd:Q28653124,Jean Virey
wd:Q16222795,Georges Tessier
wd:Q3425714,René-Norbert Sauvage
wd:Q3121183,Gustave Fagniez
wd:Q28739903,Georges Espinas
wd:Q3170204,Jean-Yves Sarazin
wd:Q3083617,François-Philippe Gourdin
wd:Q240788,Edme François Jomard
wd:Q2897426,Bernard Alart
wd:Q2830756,Alban Cerisier
wd:Q2831403,Albert Mirot
wd:Q3132135,Henri Vendel
wd:Q279425,Natalis de Wailly
wd:Q34797859,Raymond Teulet
wd:Q28942570,Joseph Vaësen
wd:Q2156245,Robert-Henri Bautier
wd:Q3185289,Joseph Macquart de Terline
wd:Q3300516,Maurice Caillet
wd:Q28657174,Eugène-Humbert Guitard
wd:Q1684704,Jean-Bernard Mary-Lafon
wd:Q3310336,Michel Melot
wd:Q648584,Eugène Tisserant
wd:Q3293856,Marius Sepet
wd:Q18744954,Ernest Roschach
wd:Q384602,Ministère de la Culture
wd:Q42663431,René de Vaulchier du Deschaulx
wd:Q27834811,Cédric Giraud
wd:Q2848766,André Vernet
wd:Q3588284,Émile-Guillaume Léonard
wd:Q2831473,Albert Poirot
wd:Q1685807,Jean Rychner
wd:Q2861197,Ariane James-Sarazin
wd:Q2426092,François Lesure
wd:Q3588648,Émile Maruéjouls
wd:Q15973860,Amédée de Bourmont
wd:Q3130713,Henri Bouchot
wd:Q3170286,Jean Adhémar
wd:Q28943644,Guy-Michel Leproux
wd:Q1063803,Charles Braibant
wd:Q3014988,Danielle Elisseeff
wd:Q35118120,Pierre-François Fournier
wd:Q5617172,Rodolphe Dareste de La Chavanne
wd:Q3271194,Léon Maître
wd:Q15407466,Henri Waquet
wd:Q30062526,Marie-Lise Tsagouria
wd:Q15407464,Sylvie Ramond
wd:Q3434784,Robert de Lasteyrie
wd:Q15973461,Alexandre Tuetey
wd:Q3371992,Paul Peyron
wd:Q3371226,Paul Fournier
wd:Q3175018,Jean Vezin
wd:Q22134539,Auguste Matton
wd:Q42663669,Alfred Barbeu du Rocher
wd:Q19266265,Maurice Oudot de Dainville
wd:Q16536534,Catherine Bertho-Lavenir
wd:Q2825116,Adrien Arcelin
wd:Q1872129,Louise-Noëlle Malclès
wd:Q28476099,Yann Potin
wd:Q3189000,Jules de Pétigny
wd:Q3165737,Jean-François Lemarignier
wd:Q42315456,Olivier de Solan
wd:Q41987983,Sylvain Riquier
wd:Q36205302,Michel Denieul
wd:Q20789764,Lucien Lambeau
wd:Q3564361,Véronique Roy
wd:Q2977325,Claude Dulong
wd:Q2408040,Jules Quicherat
wd:Q3010095,Célestin Port
wd:Q36386000,Marcel Thomas
wd:Q2606700,Ramon d'Abadal i de Vinyals
wd:Q3291552,Marie-Armand d’Avezac de Castera-Macaya
wd:Q22812367,Nicolas Karapidakis
wd:Q1456238,Gustave Servois
wd:Q34796963,Jean Kaulek
wd:Q6453661,Kéda Black
wd:Q1872012,Louis Ulbach
wd:Q3490415,Sonia Combe
wd:Q28856691,Dominique de Courcelles
wd:Q3069065,Fernand Bournon
wd:Q3261751,Louis Douët d'Arcq
