id	label	relation	in	label_relation	label_in
wd:Q2865116	Arthur Giry	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2865206	Arthur Loth	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2868977	Athanase Cucheval-Clarigny	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2871228	Auguste Himly	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2871321	Auguste Molinier	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2871430	Auguste Vallet de Viriville	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2896092	Benjamin Guérard	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2897484	Bernard Barbiche	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2898660	Camille Enlart	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2898807	Bernard de Gaulejac	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2899549	Bertrand Gille	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2926731	Bruno Delmas	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2926789	Bruno Galland	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2926909	Bruno Neveu	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2934867	Camille Bloch	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2941994	Catherine Massip	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2958006	Ernest de Fréville	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2958509	Charles Beauquier	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2958598	Charles Bourel de La Roncière	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2958663	Charles Bémont	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2959029	Charles Eudes Bonin	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2959766	Charles Marty-Laveaux	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2959858	Charles Mortet	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2959969	Charles Perrat	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2959978	Charles Petit-Dutaillis	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
